ID,תאריך יצירה,שם המוסד,סמל מוסד,שם מנהל/ת,סה"כ אמצעי קצה,ציון כולל,רמת בשלות,שאלה 1: תוכנית עבודה,שאלה 2: הקצאת משאבים,שאלה 3: תפקיד ייעודי,שאלה 4: מסמך הנחיות,שאלה 5: קטלוג חינוכי,שאלה 6: מעורבות הורים,שאלה 7: הסכמת הורים,שאלה 8: קוד אתי - צוות,שאלה 9: קוד אתי - תלמידים,שאלה 10: אינטרנט,שאלה 11: מקרן ורמקולים,שאלה 12: שימוש במחשב,שאלה 13: שימוש בהוראה,שאלה 14: דרכי הערכה,שאלה 15: מערכת קמפוס (Test-AI),שאלה 16: בוט אזרחות,שאלה 17: בוטים עוזרי הוראה,שאלה 18: שימוש מיטבי,שאלה 19: הכשרת תלמידים,שאלה 20: לומד עצמאי,שאלה 21: השתלמות,שאלה 22: אתגרים וחסמים,שאלה 23: תמיכה נדרשת,שאלה 24: הערות נוספות
"tciiVj9xS85IxY6twOsr","2026-02-25T16:37:26.838Z","אורט קרית ביאליק ","370312","ישראל אלהרר - פיוצ׳ריסט ","250","66","שלב 3: השלב המוגדר","3","3","5","3","4","3","5","3","5","3","4","3","2","2","2","2","3","5","3","2","1","החסם המרכזי הוא המעבר מיוזמה מקומית למערכתית – בניית מנגנון עבודה שמעניק לצוות את הסמכות, הזמן והכלים להפוך את הבינה לחלק בלתי נפרד מתרבות ההוראה בבית הספר.","הורדת חסמים וביצוע פעולות להטמעת הבינה ","עולם הבינה המלאכותית הוא כבר מזמן לא רק כלי טכנולוגי, אלא מרכיב משמעותי בארגז הכלים של תלמידינו. כדי שההטמעה שלו בתוך בית הספר תהיה נכונה ובעלת ערך, אנחנו נדרשים לשינוי תפיסתי ולזמינות מחשבתית.
אני מעוניין להקים צוות מוביל שיבחן כיצד אנו רותמים את הכלים האלו לטובת הפדגוגיה, תוך שמירה על רמה אקדמית וטיפוח חשיבה עצמאית."
"vM7TjQ3IyenKWqRpzFAW","2026-02-25T09:46:43.031Z","אורט פרס יקנעם","240170","דודי יוסף","270","51","שלב 2: השלב המבוסס","3","2","5","2","2","2","5","1","1","4","5","5","2","1","1","1","1","1","1","1","5","הגדרת תוכנית עבודה מסודרת - כולל יעדים מדידים תלת שנתית
תכנון מערכת זמן - סדירויות
הקצאת משאבי שעות","שיתוף בהצלחות - והדרכות מורים מישמים
משאבי שעות וחיזוק תשתיות","אנחנו החיתולים משתתפים בפיילוט אדוונצר.
מלמדים וויב קוד
720 
ואמחנו מרגישים מוכנים לעבור לשלב הבא"
"adoX2SIhq2oiIFK9FUdE","2026-02-25T09:44:08.610Z","אורט מאיר קרית גת","644732","רחל שולמרק","250","55","שלב 2: השלב המבוסס","3","3","5","5","3","2","1","1","1","1","5","5","2","1","2","4","2","2","3","2","2","תשתיות, רוחב פס שיתמוך בצורך השימוש, זמן להכשרה והטמעה משמעותית ויישום של צוות המורים, זמן ויכולת בקרה","עזרה בדיוק תוכנית העבודה והטמעה מול צוותי המורים. פתרון לבעיות האינטרנט שיש בבית הספר","תודה😊 "
"tsVGtFCg5dFp9ngC2Cxp","2026-02-25T09:43:47.825Z","אורט גוטמן ","471011","טל בר מעוז ","320","55","שלב 2: השלב המבוסס","2","2","5","2","1","2","1","3","2","5","5","5","4","2","2","1","1","2","2","3","3","הכשרת צוות המורים במיומנויות AI על בסיס קבוע 
תוכנית הכשרה שש שנתית לצוותית בכדי להטמיע אצל התלמידים 
מחשבים אישיים או ניידים לכל תלמיד 
","הרצאות בתחום הן להורים , לתלמידים וגם למורים 
כדי למנוע התנגדויות הורים ללימוד עצמאי 

מטמיע בית ספרי על בסיס שבועי 
אמצעי קצה לאוכלוסיות חלשות 

הנגשה של מחשבים ","אין "
"KJpabKD7z912AfMIOfSj","2026-02-25T09:43:40.074Z","אורט הנרי רונסון","640060","שרון אטלן","3","58","שלב 2: השלב המבוסס","3","2","5","2","3","1","1","1","1","5","5","5","4","4","1","1","1","2","4","4","3","רתימת המורים ולעודד אותם להתחיל, התאמה הדרכה באופן דפנרציאלי!","1. שעות תפקיד צבועות לטובת רכז ב״מ.
 2. צוות הדרכה שיגיע לבית הספר.
 3. המשך הכשרת המחצים ברשת במסגרת אורטק לסיוע המורים!","נשמח לקבל עזרה והתייחסות בהקדם"
"fjpzeZq4WXdCTYcrnd2H","2026-02-25T09:43:38.340Z","אורט סינגאלובסקי","570077","איתן בר לב","150","51","שלב 2: השלב המבוסס","3","2","5","1","2","1","5","1","1","4","5","4","3","2","1","3","2","2","1","2","1","1. ציוד קצה - לא לכל התלמידים/מורים יש את היכולת לרכוש ולהגיע כל יום עם מחשב לבית הספר
2. הכשרת מורים - שינויים בסדר עדיפויות שמנע סדירות קבועה של הכשרה למורים וארגון זמן נכון.
3. הכשרה לתלמידים - אין שיעורי אוריינות דיגיטלית וטכנולוגית במערכת
","1. ציוד קצה בדגש על כרומבוקים לכל בית הספר לטובת שליטה מלאה במהלך השיעורים המתוקשבים
2. ליווי והנחייה בבניית מערך פנימי של הדרכה ",":-)"
"y8Fn2l15bN9EPYEntSam","2026-02-25T09:41:46.436Z","אורט כרמים כרמיאל","244378","לילך רחמים","520","39","שלב 1: השלב ההתחלתי","2","1","5","1","1","1","1","1","1","2","5","4","2","1","1","1","1","1","2","2","3","מורים, הכשרה, מוטיבציה לשינוי, משמעות השינוי, הדרכה, טכנופוביה, תשתיות","הכשרה - ליווי צמוד, הדרכה צוותית, תשתיות, תקציבים","לא"
"svtDWA37rB7iCuUNOdTl","2026-02-25T09:41:17.008Z","אורט אפרידר אשקלון","670067","דבורה בוסקילה","600","57","שלב 2: השלב המבוסס","3","3","1","5","3","3","5","1","1","3","5","5","2","2","2","1","1","3","3","2","3","תשתיות אינטרנט 
התנגדויות מורים לשינויים
תלמידים-שימוש לא מושכל בכלי הב.מ 
הכשרת מורים ובעלי תפקידים
התנגדויות מצד הורים
שפה אחידה בית ספרית בתחום הב.מ
הטמעת הכלים בקרב כלל 
המורים והתלמידים.
שימוש בכלי אחיד בכל בית הספר לצורך למידה והטמעה מיטבית
כלי הערכה ומדידה למנהל ליישום כלי ב.מ בכיתות
","מורה מנטור מדריך מטעם הרשת פעם בשבוע 
טיפול בתשתיות
ליווי מטעם החברה החיצונית למשל גוגל שילמד וידריך את הצוות בבית הספר
 

","להטמיע באופן מתון ולא בפזיזות 
תודה רבה ובהצלחה"
"1pQFIwjczXKPTjuXHkcF","2026-02-25T09:41:10.709Z","מדעים ואומנויות נהריה תיכון","270298","דורית חילאי","180","58","שלב 2: השלב המבוסס","2","4","1","5","5","2","1","5","1","2","4","4","2","1","2","3","1","2","2","4","5","אתגרים - חוסר נכונות ורצון מצד המורים לשינויי, חשש מטכנולוגיה, שינוי ושילוב של כלים חדשים בכיתה. 
תשתית טכנוחוגית מאתגרת, עומס בכלים - מורים לא מיומנים בהתאמת הכלי לצורך ההוראה. 
קושי לשלב בין המקצועות במטרה להקל ולגוון את הלמידה

תלמידים - עומס בתוכניות, ","שיפור תשתיות
עזרה בחיבור עם חברות היי טק - לתהליך מתמשך, סוג של אימוץ
לשמר קשר הקיים (מנהל חדשנות בקשר הרציף עם בית הספר, ריטריט של צוות מופ, כנסים ומפגשים פיזיים)
חשיפה לכלים פדגוגיים חדשים
 להמשיך future ready


","אין"
"BseFEfAV8Re0eFOK1H0N","2026-02-25T09:40:46.072Z","אורט ישיבה תיכונית טבריה","244384","הרב גלעד מסינג","90","56","שלב 2: השלב המבוסס","3","4","5","1","1","5","1","2","2","4","4","4","4","2","2","1","1","2","2","2","4","הכשרה, ציוד קצה, הקצאת שעות במערכת השעות, פס גלישה באינטרנט, רצון ללמידה, טכנופוביה, חוסר אמון והתמסרות לכלי הבינה מלאכותית, חוסר מקצועיות בניסוח פרומפטים. ","ציוד קצה, תכניות הטמעה לצוות, שעות לביצוע התפקיד. הכוונה וליווי לפי דיסציפלינות, חשיפה וחיבור הצוות והתלמידים לתעשיית ההיי טק בצפון- פריפריה. ","תודה רבה"
